City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
306,susanville,40.4163,-120.653,296.38,32,0,2.06,US,1697575054
307,badou,7.5833,0.6,296.58,91,98,0.35,TG,1697575055
308,sur,22.5667,59.5289,301.79,60,0,4.33,OM,1697575055
309,mahajanga,-15.7167,46.3167,301.16,78,40,3.6,MG,1697575056
310,inari,68.906,27.0288,270.26,98,95,1.51,FI,1697575056
311,palikir - national government center,6.9248,158.1611,297.56,100,75,1.54,FM,1697575056
312,petrolina,-9.3986,-40.5008,306.18,22,20,4.63,BR,1697575057
313,semenyih,2.9516,101.843,299.36,97,94,0.24,MY,1697575057
314,coquimbo,-29.9533,-71.3436,290.0,67,0,5.14,CL,1697575058
315,sambava,-14.2667,50.1667,294.69,90,5,2.51,MG,1697575058
316,rio gallegos,-51.6226,-69.2181,288.18,36,0,10.8,AR,1697575058
317,brookings,44.3114,-96.7984,295.34,37,0,6.17,US,1697575059
318,tlaltenango de sanchez roman,21.7833,-103.3167,298.71,29,71,2.21,MX,1697575059
319,ponta delgada,37.7333,-25.6667,294.37,77,75,7.72,PT,1697575060
320,saddiqabad,28.3062,70.1307,296.77,49,0,6.76,PK,1697575060
321,christchurch,-43.5333,172.6333,285.6,86,77,3.09,NZ,1697575060
322,maitum,6.0392,124.4986,298.55,85,32,1.63,PH,1697575061
323,cascais,38.6979,-9.4215,293.68,94,75,5.81,PT,1697575061
324,molepolole,-24.4066,25.4951,295.23,31,0,4.78,BW,1697575062
325,juanacatlan,20.5167,-103.1667,296.16,38,75,0.0,MX,1697575062
326,hanceville,34.0607,-86.7675,293.5,42,1,2.4,US,1697575063
327,ust-nera,64.5667,143.2,252.3,95,82,1.64,RU,1697575063
328,cabo san lucas,22.8909,-109.9124,308.49,58,20,2.57,MX,1697574847
329,muhos,64.808,25.9931,274.03,96,28,2.06,FI,1697575064
330,placer,39.0666,-120.7677,299.63,31,2,0.45,US,1697575064
331,tasgaon,17.0333,74.6,300.08,50,97,3.82,IN,1697575065
332,san luis de la loma,17.2706,-100.8939,300.63,87,99,2.94,MX,1697575065
333,padang,-0.9492,100.3543,297.18,90,100,0.95,ID,1697574724
334,badger,64.8,-147.5333,275.08,83,75,1.54,US,1697575066
335,broome,42.2506,-75.833,287.4,76,100,3.6,US,1697575066
336,buckhannon,38.994,-80.232,284.87,77,100,2.06,US,1697574923
337,aoulef,26.9667,1.0833,302.21,15,3,2.55,DZ,1697575067
338,richards bay,-28.783,32.0377,291.43,88,97,3.03,ZA,1697575067
339,susuman,62.7833,148.1667,252.12,83,15,0.89,RU,1697575068
340,cannonvale,-20.2833,148.7,296.81,83,100,9.39,AU,1697575068
341,lihue,21.9789,-159.3672,301.13,63,0,1.54,US,1697575068
342,feicheng,35.2606,117.9675,289.67,63,100,2.09,CN,1697575069
343,vielha,42.6846,0.7726,282.63,85,98,3.62,ES,1697575069
344,ishigaki,24.3448,124.1572,298.22,73,100,4.63,JP,1697575069
345,meizhou,24.2977,116.1072,293.09,81,39,0.88,CN,1697575070
346,murray bridge,-35.1167,139.2667,286.12,68,0,2.07,AU,1697575071
